StandardCode,StandardName,UrlLink
68,Junior Energy Manager,https://www.gov.uk/government/publications/apprenticeship-standard-junior-energy-manager
69,Land-Based Service Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-land-based-service-engineer
70,Land-Based Service Engineering Technician,https://www.gov.uk/government/publications/apprenticeship-standard-land-based-service-engineering-technician
71,Live Event Rigger,https://www.gov.uk/government/publications/apprenticeship-standard-live-event-rigger
72,Bespoke Tailor and Cutter,https://www.gov.uk/government/publications/apprenticeship-standard-bespoke-tailor-and-cutter
73,Public Sector Commercial Professional,https://www.gov.uk/government/publications/apprenticeship-standard-public-sector-commercial-professional
74,Gas Engineering,https://www.gov.uk/government/publications/apprenticeship-standard-gas-engineering
75,Outside Broadcasting Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-outside-broadcasting-engineer
76,Boatbuilder,https://www.gov.uk/government/publications/apprenticeship-standard-boatbuilder
77,Credit Controller/Collector,https://www.gov.uk/government/publications/apprenticeship-standard-credit-controller-collector
78,Digital Marketer,https://www.gov.uk/government/publications/apprenticeship-standard-digital-marketer
79,Cyber Intrusion Analyst,https://www.gov.uk/government/publications/apprenticeship-standard-cyber-intrusion-analyst
80,Data Analyst,https://www.gov.uk/government/publications/apprenticeship-standard-data-analyst
81,Unified Communications Trouble Shooter,https://www.gov.uk/government/publications/apprenticeship-standard-unified-communications-troubleshooter
82,Infrastructure Technician,https://www.gov.uk/government/publications/apprenticeship-standard-infrastructure-technician
83,Junior Management Consultant,https://www.gov.uk/government/publications/apprenticeship-standard-junior-management-consultant
84,Junior 2D Artist (visual effects),https://www.gov.uk/government/publications/apprenticeship-standard-junior-2d-artist-visual-effects
85,Assistant Technical Director (visual effects),https://www.gov.uk/government/publications/apprenticeship-standard-assistant-technical-director-visual-effects
86,Aviation Ground Specialist,https://www.gov.uk/government/publications/apprenticeship-standard-aviation-ground-specialist
87,Aviation Ground Operative,https://www.gov.uk/government/publications/apprenticeship-standard-aviation-ground-operative
88,Rail Engineering Advanced Technician,https://www.gov.uk/government/publications/apprenticeship-standard-rail-engineering-advanced-technician
89,Rail Engineering Technician,https://www.gov.uk/government/publications/apprenticeship-standard-rail-engineering-technician
90,Rail Engineering Operative,https://www.gov.uk/government/publications/apprenticeship-standard-rail-engineering-operative
91,Software Tester,https://www.gov.uk/government/publications/apprenticeship-standard-software-tester
92,Engineering Design and Draughtsperson,https://www.gov.uk/government/publications/apprenticeship-standard-engineering-design-draughtsperson
93,Commis Chef,https://www.gov.uk/government/publications/apprenticeship-standard-commis-chef
94,Welding,https://www.gov.uk/government/publications/apprenticeship-standard-welder-level-2
95,Welding,https://www.gov.uk/government/publications/apprenticeship-standard-welder-level-3
96,Hospitality Team Member,https://www.gov.uk/government/publications/apprenticeship-standard-hospitality-team-member
98,Cyber Security Technologist,https://www.gov.uk/government/publications/apprenticeship-standard-cyber-security-technologist-approved-for-delivery
99,Healthcare Science Assistant,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-science-assistant
100,Transport Planning Technician,https://www.gov.uk/government/publications/apprenticeship-standard-transport-planning-technician
101,Retailer,https://www.gov.uk/government/publications/apprenticeship-standard-retailer
102,Healthcare Assistant Practitioner,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-assistant-practitioner
103,Healthcare Support Worker,https://www.gov.uk/government/publications/apprenticeship-standard-healthcare-support-worker
104,Operations/Departmental Manager,https://www.gov.uk/government/publications/apprenticeship-standard-operationsdepartmental-manager-approved-for-delivery
105,Team Leader/Supervisor,https://www.gov.uk/government/publications/apprenticeship-standard-team-leadersupervisor-approved-for-delivery
106,Papermaker,https://www.gov.uk/government/publications/apprenticeship-standard-papermaker
107,Embedded Electronic Systems Design and Development Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-embedded-electronic-systems-design-and-development-engineer
108,HM Forces Serviceperson (Public Services),https://www.gov.uk/government/publications/apprenticeship-standard-hm-forces-public-services-operational-delivery-uniformed
109,Supply Chain Operator,https://www.gov.uk/government/publications/apprenticeship-standard-supply-chain-operator
110,Large Goods Vehicle (LGV) Driver,https://www.gov.uk/government/publications/apprenticeship-standard-large-goods-vehicle-lgv-driver
111,Supply Chain Warehouse Operative,https://www.gov.uk/government/publications/apprenticeship-standard-supply-chain-warehouse-operative
112,Broadcast Production Assistant,https://www.gov.uk/government/publications/apprenticeship-standard-broadcast-production-assistant
114,Aircraft Maintenance Certifying Engineer,https://www.gov.uk/government/publications/apprenticeship-standard-aircraft-maintenance-certifying-engineer
116,Survival Equipment Fitter,https://www.gov.uk/government/publications/apprenticeship-standard-survival-equipment-fitter
117,Professional Accounting Taxation Technician,https://www.gov.uk/government/publications/apprenticeship-standard-professional-accounting-technician
118,Lead Adult Care Worker,https://www.gov.uk/government/publications/apprenticeship-standard-lead-adult-care-worker
119,Adult Care Worker,https://www.gov.uk/government/publications/apprenticeship-standard-adult-care-worker
120,Travel Consultant,https://www.gov.uk/government/publications/apprenticeship-standard-travel-consultant
121,Airside Operator,https://www.gov.uk/government/publications/apprenticeship-standard-airside-operator
122,Customer Service Practitioner,https://www.gov.uk/government/publications/apprenticeship-standard-customer-service-practitioner
123,Aviation Operations Manager,https://www.gov.uk/government/publications/apprenticeship-standard-aviation-operations-manager
124,Highway Electrician / Service Operative,https://www.gov.uk/government/publications/apprenticeship-standard-highway-electrician-service-operative
125,Highway Electrical Maintenance and Installation Operative,https://www.gov.uk/government/publications/apprenticeship-standard-highway-electrical-maintenance-installation-operative
